QuestionText,Category,Answer
"['نجيب', 'محفوظ', 'مؤلف', 'رواية', 'الأيام']",الثقافة,"['طه', 'حسين', 'مؤلف', 'رواية', 'الأيام']"
"['الزرافة', 'أطول', 'حيوان']",التعليم,"['الزرافة', 'أطول', 'حيوان', 'بري']"
"['تعد', 'اللغة', 'الصينية', 'اللغات']",الثقافة,"['اللغة', 'الصينية', 'اللغات', 'السامية']"
"['يستخدم', 'الذهب', 'صناعة']",التكنولوجيا,"['يستخدم', 'الذهب', 'صناعة', 'الإلكترونيات']"
"['تحتوي', 'الخلية', 'النباتية', 'جدار']",التعليم,"['تحتوي', 'الخلية', 'النباتية', 'جدار', 'خلوي']"
"['يمكن', 'للحوت', 'الأزرق', 'يتنفس']",التعليم,"['يمكن', 'للحوت', 'الأزرق', 'يتنفس', 'الماء']"
"['يمكن', 'للبكتيريا', 'تعيش', 'ظروف', 'خالية']",الصحة,"['يمكن', 'للبكتيريا', 'تعيش', 'ظروف', 'خالية', 'الأوكسجين']"
"['تستخدم', 'الخلايا', 'الشمسية', 'لتحويل', 'الطاقة', 'الشمسية']",التكنولوجيا,"['تستخدم', 'الخلايا', 'الشمسية', 'لتحويل', 'الطاقة', 'الشمسية', 'كهرباء']"
"['تعد', 'الدلافين']",التعليم,"['تعد', 'الدلافين', 'الثدييات']"
"['يمكن', 'للإنسان', 'يرى', 'بالأشعة']",التعليم,"['يمكن', 'للإنسان', 'يرى', 'بالأشعة', 'الحمراء']"
"['يعتبر', 'الفحم', 'الموارد']",الاقتصاد والعمل,"['الفحم', 'الموارد', 'المتجددة']"
"['نهر', 'النيل', 'أطول', 'نهر']",التعليم,"['نهر', 'النيل', 'أطول', 'نهر', 'العالم']"
"['يستخدم', 'الزئبق', 'موازين', 'الحرارة']",التكنولوجيا,"['يستخدم', 'الزئبق', 'موازين', 'الحرارة', 'التقليدية']"
"['يعتبر', 'الزجاج', 'موصل', 'جيد']",التعليم,"['الزجاج', 'موصل', 'جيد', 'للحرارة']"
"['تعتبر', 'الزهرة', 'كوكب', 'النظام']",التعليم,"['الزهرة', 'كوكب', 'النظام', 'الشمسي']"
"['يستخدم', 'الحديد', 'صناعة']",التكنولوجيا,"['يستخدم', 'الحديد', 'صناعة', 'السيارات']"
"['يعتبر', 'الزيتون']",الثقافة,"['يعتبر', 'الزيتون', 'الفواكه']"
"['تعد', 'القهوة', 'مشروبا', 'يحتوي']",الثقافة,"['القهوة', 'تحتوي', 'الكافيين']"
"['يمكن', 'للحيوانات', 'البرمائية', 'تعيش', 'الماء', 'وعلى']",التعليم,"['يمكن', 'للحيوانات', 'البرمائية', 'تعيش', 'الماء', 'وعلى', 'اليابسة']"
"['تستخدم', 'الألياف', 'البصرية', 'لنقل']",التكنولوجيا,"['تستخدم', 'الألياف', 'البصرية', 'لنقل', 'البيانات']"
"['يعد', 'الكتاب', 'المقدس', 'أقدم', 'نص', 'ديني']",الدين,"['الكتاب', 'المقدس', 'أقدم', 'نص', 'ديني', 'معروف']"
"['تعتبر', 'الماس', 'الأحجار']",الثقافة,"['تعتبر', 'الماس', 'الأحجار', 'الكريمة']"
"['يستخدم', 'الفلين', 'صناعة']",التكنولوجيا,"['يستخدم', 'الفلين', 'صناعة', 'الزجاجات']"
"['تعد', 'الحيتان']",التعليم,"['الحيتان', 'الثدييات']"
"['يمكن', 'للنباتات', 'تنمو', 'بدون', 'ضوء']",التعليم,"['يمكن', 'للنباتات', 'تنمو', 'بدون', 'ضوء', 'الشمس']"
"['يعتبر', 'الذهب', 'أثقل']",التعليم,"['يعتبر', 'الذهب', 'أثقل', 'الحديد']"
"['تستخدم', 'الحواسيب', 'التنبؤ', 'بحالة']",التكنولوجيا,"['تستخدم', 'الحواسيب', 'التنبؤ', 'بحالة', 'الطقس']"
"['يعد', 'الزيت', 'النباتي', 'مصدرا', 'للطاقة']",التكنولوجيا,"['يعد', 'الزيت', 'النباتي', 'مصدرا', 'للطاقة', 'المتجددة']"
"['تعتبر', 'النملة']",التعليم,"['النملة', 'تعتبر', 'الحشرات']"
"['يمكن', 'للإنسان', 'يسمع', 'الأصوات', 'التردد', 'العالي']",الصحة,"['يمكن', 'للإنسان', 'يسمع', 'الأصوات', 'التردد', 'العالي', 'جدا']"
"['يعد', 'البحر', 'الأحمر', 'الممرات', 'البحرية']",الجغرافيا,"['يعد', 'البحر', 'الأحمر', 'الممرات', 'البحرية', 'الهامة']"
"['تعتبر', 'القارة', 'الأفريقية', 'الأكبر']",التعليم,"['القارة', 'الآسيوية', 'الأكبر', 'المساحة']"
"['يستخدم', 'الصوديوم', 'صناعة']",التكنولوجيا,"['يستخدم', 'الصوديوم', 'صناعة', 'الملح']"
"['تعد', 'الأشجار', 'مصدرا']",البيئة والطاقة,"['تعد', 'الأشجار', 'مصدرا', 'للأوكسجين']"
"['يمكن', 'للأفاعي', 'تسمع']",التعليم,"['الأفاعي', 'تسمع', 'الأصوات', 'ولكنها', 'تشعر', 'بالاهتزازات']"
"['يعد', 'الكمبيوتر', 'الأدوات']",التكنولوجيا,"['يعد', 'الكمبيوتر', 'الأدوات', 'الحديثة']"
"['تعتبر', 'الدببة', 'الحيوانات']",التعليم,"['تعتبر', 'الدببة', 'الحيوانات', 'اللاحمة']"
"['يستخدم', 'السيليكون', 'صناعة', 'الرقائق']",التكنولوجيا,"['يستخدم', 'السيليكون', 'صناعة', 'الرقائق', 'الإلكترونية']"
"['تعتبر', 'النباتات', 'مصدر', 'غذاء', 'رئيسي', 'للحيوانات']",البيئة والطاقة,"['تعتبر', 'النباتات', 'مصدر', 'غذاء', 'رئيسي', 'للحيوانات', 'العاشبة']"
"['تعد', 'الألماس']",التعليم,"['الألماس', 'المعادن']"
"['لأرسطو', 'تأثير', 'كبير', 'الفلسفة']",الثقافة,"['لأرسطو', 'تأثير', 'كبير', 'الفلسفة', 'الغربية']"
"['يمكن', 'للإنسان', 'يعيش', 'بدون']",الصحة,"['يمكن', 'للإنسان', 'يعيش', 'بدون', 'كبد']"
"['يعتبر', 'الأوكسجين', 'ضروريا', 'لعملية']",الصحة,"['الأوكسجين', 'ضروري', 'لعملية', 'التنفس']"
"['يمكن', 'للإنسان', 'يتذوق', 'الطعام', 'بدون']",الصحة,"['يمكن', 'للإنسان', 'يتذوق', 'الطعام', 'بدون', 'لسان']"
"['يمكن', 'للإنسان', 'يعيش', 'بدون', 'غذاء', 'لفترة']",الصحة,"['يمكن', 'للإنسان', 'يعيش', 'بدون', 'غذاء', 'لفترة', 'طويلة']"
"['تستخدم', 'الفيتامينات', 'تعزيز', 'الصحة']",الصحة,"['تستخدم', 'الفيتامينات', 'تعزيز', 'الصحة', 'العامة']"
"['يمكن', 'للإنسان', 'يتنفس', 'الفضاء', 'بدون']",التعليم,"['يمكن', 'للإنسان', 'يتنفس', 'الفضاء', 'بدون', 'معدات']"
"['يمكن', 'للإنسان', 'يرى', 'الأشياء', 'بدون']",التعليم,"['يمكن', 'للإنسان', 'يرى', 'الأشياء', 'بدون', 'الضوء']"
"['يتناول', 'الدجاج', 'نوعا', 'معينا']",الصحة,"['يتناول', 'الدجاج', 'أنواعا', 'معينة', 'الطعام', 'تتضمن', 'الحبوب', 'والبذور', 'وأحيانا', 'الحشرات']"
"['الدجاج', 'نظام', 'غذائي']",الصحة,"['الدجاج', 'نظام', 'غذائي', 'محدد', 'يعتمد', 'الحبوب', 'والبذور', 'وأحيانا', 'الحشرات']"
"['كانت', 'جهود', 'المرأة', 'المساواة', 'الحقوق', 'أثناء', 'الحركة', 'النسائية']",السياسة والقانون,"['كانت', 'جهود', 'المرأة', 'المساواة', 'الحقوق', 'أثناء', 'الحركة', 'النسائية', 'ناجحة', 'تحقيق', 'العديد', 'التغييرات', 'القانونية', 'والاجتماعية']"
"['علاقة', 'الخوف', 'الاضطرابات', 'النفسية']",الصحة,"['علاقة', 'الخوف', 'الاضطرابات', 'النفسية', 'والشيب', 'يمكن', 'يسبب', 'التوتر', 'النفسي', 'تسريع', 'ظهور', 'الشيب']"
"['كانت', 'الأشرطة', 'قابلة', 'للاستعاده', 'والمعالجة', 'تدمير', 'المشروعية', 'التاريخية', 'جوانب', 'الأشرطة', 'فقدت']",التكنولوجيا,"['جوانب', 'الأشرطة', 'فقدت', 'مشروعيتها', 'التاريخية', 'أثناء', 'الاستعادة', 'والمعالجة']"
"['كانت', 'الأشرطة', 'المستعادة', 'قابلة', 'لإضافة', 'لون', 'إليها', 'لتحسين', 'الصورة', 'أنها', 'بقيت', 'بالأبيض']",التكنولوجيا,"['بقيت', 'الأشرطة', 'المستعادة', 'بالأبيض', 'والأسود', 'ولم', 'تكن', 'قابلة', 'لإضافة', 'لون', 'إليها']"
"['انضمت', 'النرويج', 'بالنهاية', 'الاتحاد', 'الأوروبي', 'سنة']",السياسة والقانون,"['تنضم', 'النرويج', 'الاتحاد', 'الأوروبي', 'سنة', '1972']"
"['حقق', 'الأردن', 'الاكتفاء', 'الذاتي', 'زيت']",السياسة والقانون,"['يعتبر', 'القطاع', 'الزراعي', 'القطاعات', 'المهمة', 'وتلعب', 'الزراعة', 'دورا', 'هاما', 'المنظومة', 'الاقتصادية', 'والاجتماعية', 'للمجتمعات', 'الريفية', 'ترتبط', 'ارتباطا', 'وثيقا', 'بجهود', 'المحافظة', 'البيئة', 'الطبيعية', 'واستمراريتها', 'يواجه', 'القطاع', 'الزراعي', 'الأردن', 'مشاكل', 'وتحديات', 'متمثلة', 'توالي', 'سنوات', 'تذبذب', 'قلة', 'الأراضي', 'ندرة', 'الموارد', 'والمخاطر', 'المختلفة', 'يساهم', 'القطاع', 'الزراعي', 'نسبته', 'الناتج', 'المحلي', 'الإجمالي', 'ويعمل', 'مجموع', 'القوى', 'وتشكل', 'الصادرات', 'الزراعية', 'مجموع', 'صادرات', 'يذهب', 'الأسواق', 'العربية', 'حقق', 'الأردن', 'الاكتفاء', 'الذاتي', 'عدد', 'المنتجات', 'الزراعية', 'كزيت', 'الكثير', 'المنتجات', 'الغذائية', 'الأساسية', 'كأنواع', 'القمح', 'ومشتقات', 'الحليب', 'والسكر', 'اللحوم', 'الحمراء', 'والخضراوات', 'تستورد', 'الخارج', 'نمت', 'الصادرات', 'المنتجات', 'الزراعية', 'بنسبة', 'عام', '2005', 'مقارنة', 'قيمته', 'عام', '2004', 'أهم', 'الصادرات', 'الزراعية', 'الزيوت', 'والسجائر', 'أهم', 'الدول', 'المستوردة', 'الإمارات', 'العربية', 'وسوريا']"
"['تعد', 'الطماطم', 'أهم', 'صادرات', 'الأردن']",السياسة والقانون,"['يعتبر', 'القطاع', 'الزراعي', 'القطاعات', 'المهمة', 'وتلعب', 'الزراعة', 'دورا', 'هاما', 'المنظومة', 'الاقتصادية', 'والاجتماعية', 'للمجتمعات', 'الريفية', 'ترتبط', 'ارتباطا', 'وثيقا', 'بجهود', 'المحافظة', 'البيئة', 'الطبيعية', 'واستمراريتها', 'يواجه', 'القطاع', 'الزراعي', 'الأردن', 'مشاكل', 'وتحديات', 'متمثلة', 'توالي', 'سنوات', 'تذبذب', 'قلة', 'الأراضي', 'ندرة', 'الموارد', 'والمخاطر', 'المختلفة', 'يساهم', 'القطاع', 'الزراعي', 'نسبته', 'الناتج', 'المحلي', 'الإجمالي', 'ويعمل', 'مجموع', 'القوى', 'وتشكل', 'الصادرات', 'الزراعية', 'مجموع', 'صادرات', 'يذهب', 'الأسواق', 'العربية', 'حقق', 'الأردن', 'الاكتفاء', 'الذاتي', 'عدد', 'المنتجات', 'الزراعية', 'كزيت', 'الكثير', 'المنتجات', 'الغذائية', 'الأساسية', 'كأنواع', 'القمح', 'ومشتقات', 'الحليب', 'والسكر', 'اللحوم', 'الحمراء', 'والخضراوات', 'تستورد', 'الخارج', 'نمت', 'الصادرات', 'المنتجات', 'الزراعية', 'بنسبة', 'عام', '2005', 'مقارنة', 'قيمته', 'عام', '2004', 'أهم', 'الصادرات', 'الزراعية', 'الزيوت', 'والسجائر', 'أهم', 'الدول', 'المستوردة', 'الإمارات', 'العربية', 'وسوريا']"
"['تم', 'قبول', 'فكرة', 'الصرفة', 'بشكل', 'واسع', 'العلماء']",الدين,"['بعضهم', 'قالوا', 'بأن', 'فكرة', 'الإعجاز', 'يجب', 'الا', 'تفهم', 'الفهم', 'الضيق', 'ومنهم', 'إبراهيم', 'النظام', 'أدخل', 'النقاش', 'الدائر', 'العلماء', 'فكرة', 'الصرفة', 'قائلا', 'إعجاز', 'القرآن', 'الكريم', 'يقوم', 'أن', 'الله', 'صرف', 'العرب', 'معارضته', 'بأن', 'سلب', 'علومهم', 'به', 'ولم', 'يقبل', 'الفكرة', 'قلائل']"
"['يمكن', 'لأي', 'شخص', 'يأتي', 'بمثل', 'القرآن', 'وفقا', 'للمعتقد']",الدين,"['والإعجاز', 'القرآني', 'مصطلح', 'يدل', 'على', 'قصور', 'الإنس', 'والجن', 'يأتوا', 'بمثل', 'القرآن', 'الكريم', 'بسورة', 'مثله']"
"['العلماء', 'المسلمون', 'فكرة', 'الصرفة']",الدين,"['بعضهم', 'قالوا', 'بأن', 'فكرة', 'الإعجاز', 'يجب', 'الا', 'تفهم', 'الفهم', 'الضيق', 'ومنهم', 'إبراهيم', 'النظام', 'أدخل', 'النقاش', 'الدائر', 'العلماء', 'فكرة', 'الصرفة', 'قائلا', 'إعجاز', 'القرآن', 'الكريم', 'يقوم', 'أن', 'الله', 'صرف', 'العرب', 'معارضته', 'بأن', 'سلب', 'علومهم', 'به', 'ولم', 'يقبل', 'الفكرة', 'قلائل']"
"['يمكن', 'للمواد', 'المسرطنة', 'تؤدي', 'موت']",الصحة,"['عادة', 'يؤدي', 'تلف', 'الحمض', 'النووي', 'الحالات', 'الحادة', 'يصعب', 'موت', 'الخلايا', 'المبرمج']"
"['ارتفعت', 'قيمة', 'الصادرات', 'الزراعية', 'عام']",السياسة والقانون,"['ارتفعت', 'قيمة', 'الصادرات', 'الزراعية', 'بنسبة', 'خلال', 'عام', '2006']"
"['يمتلك', 'الأردن', 'حصة', 'فردية', 'موارد', 'المياه', 'المتجددة', 'تعد', 'أدنى', 'الحصص']",السياسة والقانون,"['وتعتبر', 'حصة', 'الفرد', 'موارد', 'المياه', 'المتجددة', 'أدنى', 'الحصص', 'العالم']"
"['تعرض', 'التاريخ', 'الإسلامي', 'لغزو']",التاريخ,"['تعرض', 'التاريخ', 'الإسلامي', 'لأكبر', 'قدر', 'الغزو', 'الفكري']"
"['كانت', 'الجزيرة', 'العربية', 'ظهور', 'الإسلام', 'مجموعة', 'القبائل']",التاريخ,"['كانت', 'الجزيرة', 'العربية', 'ظهور', 'الإسلام', 'مجموعة', 'القبائل', 'العربية']"
"['يشمل', 'التاريخ', 'الإسلامي', 'الفترة']",التاريخ,"['يمتد', 'التاريخ', 'الإسلامي', 'بداية', 'الدعوة', 'الإسلامية', 'مرورا', 'بالدولة', 'الأموية']"
"['تختلف', 'وجهات', 'نظر', 'المحللين', 'تفسير', 'التاريخ']",التاريخ,"['تختلف', 'وجهات', 'النظر', 'تحاول', 'شرح', 'وتفسير', 'التاريخ', 'الإسلامي', 'الخلفيات', 'الأيديولوجية', 'والأدوات', 'التحليلية', 'المستخدمة']"
"['جمع', 'زيد', 'بن', 'ثابت', 'القرآن', 'عهد', 'أبي']",التاريخ,"['فأمر', 'الصديق', 'زيد', 'بن', 'ثابت', 'بجمعه']"
"['تمت', 'توسعة', 'المسجد', 'النبوي', 'عهد']",التاريخ,"['تمت', 'عهده', 'توسعة', 'المسجد', 'النبوي', 'عام', '29', '30', 'ه']"
"['جمع', 'زيد', 'بن', 'ثابت', 'القرآن', 'عهد', 'أبي']",التاريخ,"['فأمر', 'الصديق', 'زيد', 'بن', 'ثابت', 'بجمعه']"
"['تمت', 'توسعة', 'المسجد', 'النبوي', 'عهد']",التاريخ,"['تمت', 'عهده', 'توسعة', 'المسجد', 'النبوي', 'عام', '29', '30']"
"['قاتل', 'المسلمون', 'ضد', 'المرتدين', 'عهد', 'أبي']",التاريخ,"['قاتل', 'المسلمون', 'المرتدين', 'حروب', 'الردة']"
"['استطاع', 'المسلمون', 'فتح']",التاريخ,"['استطاع', 'المسلمون', 'فتح', 'القدس']"
"['زيد', 'بن', 'ثابت', 'بجمع', 'القرآن', 'عهد', 'أبي']",التاريخ,"['فأمر', 'الصديق', 'زيد', 'بن', 'ثابت', 'بجمعه']"
"['استطاع', 'المسلمون', 'فتح']",التاريخ,"['فركب', 'إليهم', 'وحاصر', 'بيت', 'وضيق', 'عليهم', 'أجابوا', 'الصلح']"
"['كانت', 'خلافة', 'عبد', 'الملك', 'بن', 'مروان', 'مليئة', 'بالفتن']",التاريخ,"['تولي', 'الحكم', 'سنة', '65', 'والدولة', 'حالة', 'انقسام', 'وضعف']"
"['أسس', 'الفاطميون', 'الجامع']",التاريخ,"['أنشأوا', 'الجامع', 'الأزهر']"
"['البوسنة', 'والهرسك', 'عضوا', 'منظمة', 'المؤتمر']",السياسة والقانون,"['يوجد', 'الدول', 'يمكن', 'اعتبارها', 'إسلامية', 'وليست', 'عضوا', 'منظمة', 'المؤتمر', 'البوسنة', 'والهرسك']"
"['خضعت', 'معظم', 'أنحاء', 'العالم', 'الإسلامي', 'للاحتلال']",التاريخ,"['خضعت', 'معظم', 'أنحاء', 'العالم', 'الإسلامي', 'للاحتلال', 'الأوروبي']"
"['يمكن', 'يكون', 'الذكاء', 'الاصطناعي', 'خطيرا', 'يتم', 'التحكم']",التكنولوجيا,"['يمكن', 'يكون', 'الذكاء', 'الاصطناعي', 'خطيرا', 'يتم', 'التحكم', 'بشكل', 'صحيح', 'وتوجيهه', 'الأهداف', 'الإيجابية']"
"['الهمزة', 'تتوقع', 'يتغير', 'التعليم', 'التقليدي']",التعليم,"['يتوقع', 'يتغير', 'التعليم', 'التقليدي', 'المستقبل', 'الاعتماد', 'التكنولوجيا', 'والتعلم', 'بعد']"
"['يمكن', 'تؤدي', 'الطاقة', 'المتجددة', 'استبدال', 'الوقود', 'الأحفوري']",البيئة والطاقة,"['يمكن', 'تؤدي', 'الطاقة', 'المتجددة', 'استبدال', 'الوقود', 'الأحفوري', 'بالكامل', 'تم', 'الاستثمار', 'بشكل', 'تطويرها']"
"['يمكن', 'يحل', 'التعليم', 'محل', 'التعليم']",التعليم,"['يمكن', 'يحل', 'التعليم', 'محل', 'التعليم', 'التقليدي', 'المجالات', 'استمر', 'التطور', 'التكنولوجي']"
"['يمكن', 'يحل', 'الذكاء', 'الاصطناعي', 'محل', 'الإنسان']",التكنولوجيا,"['الذكاء', 'الاصطناعي', 'يحل', 'محل', 'الإنسان', 'لكنه', 'يتمكن', 'استبدال', 'الإنسان', 'الوظائف', 'تتطلب', 'الإبداع', 'والتفاعل', 'البشري']"
"['يمكن', 'للذكاء', 'الاصطناعي', 'تحسين', 'الرعاية']",الصحة,"['يمكن', 'للذكاء', 'الاصطناعي', 'تحسين', 'الرعاية', 'الصحية', 'خلال', 'تحليل', 'البيانات', 'الضخمة', 'وتقديم', 'تشخيصات', 'دقيقة']"
"['يمكن', 'يؤدي', 'الابتكار', 'تحسين', 'الاقتصاد']",الاقتصاد والعمل,"['يمكن', 'يؤدي', 'الابتكار', 'تحسين', 'الاقتصاد', 'الوطني', 'خلال', 'خلق', 'فرص', 'عمل', 'جديدة', 'وزيادة', 'الإنتاجية']"
"['يمكن', 'للتكنولوجيا', 'تحل', 'مشاكل']",التكنولوجيا,"['التكنولوجيا', 'يمكن', 'تحل', 'لكنها', 'تستطيع', 'حل', 'المشاكل', 'المتعلقة', 'بالعلاقات', 'الإنسانية', 'والأخلاق']"
